train/n_updates,time/time_elapsed,train/ent_coef_loss,train/ent_coef,time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/learning_rate,train/actor_loss,rollout/ep_len_mean,train/critic_loss
334,30,-2.9532926082611084,0.7788147330284119,4,0.0,333,10000,0.00075,-12.26687240600586,500.0,0.08745857328176498
,30,,,8,0.0,332,10000,,,500.0,
,30,,,12,0.0,332,10000,,,500.0,
,30,,,16,0.0,332,10000,,,500.0,
,30,,,20,0.0,332,10000,,,500.0,
834,62,-7.366748809814453,0.5351771712303162,24,0.0,320,20000,0.00075,-16.18505096435547,500.0,0.04148967191576958
,62,,,28,0.0,320,20000,,,500.0,
,62,,,32,0.0,320,20000,,,500.0,
,62,,,36,0.0,320,20000,,,500.0,
,62,,,40,0.0,320,20000,,,500.0,
1334,94,-11.716825485229492,0.3678028881549835,44,0.0,316,30000,0.00075,-19.27322006225586,500.0,0.047768235206604004
,94,,,48,0.0,316,30000,,,500.0,
,94,,,52,0.0,316,30000,,,500.0,
,94,,,56,0.0,316,30000,,,500.0,
,94,,,60,0.0,316,30000,,,500.0,
1834,128,-16.24150276184082,0.2528204619884491,64,0.0,312,40000,0.00075,-20.684194564819336,500.0,0.10169625282287598
,128,,,68,0.0,312,40000,,,500.0,
,128,,,72,0.0,312,40000,,,500.0,
,128,,,76,0.0,312,40000,,,500.0,
,128,,,80,0.0,312,40000,,,500.0,
2334,160,-20.464570999145508,0.17380397021770477,84,0.0,312,50000,0.00075,-22.179096221923828,500.0,0.06949546933174133
,160,,,88,0.0,312,50000,,,500.0,
,160,,,92,0.0,312,50000,,,500.0,
,160,,,96,0.0,312,50000,,,500.0,
,160,,,100,0.0,312,50000,,,500.0,
2834,192,-24.883056640625,0.11954204738140106,104,0.0,311,60000,0.00075,-22.637001037597656,500.0,0.05584070831537247
,192,,,108,0.0,311,60000,,,500.0,
,192,,,112,0.0,311,60000,,,500.0,
,192,,,116,0.0,311,60000,,,500.0,
,192,,,120,0.0,311,60000,,,500.0,
3334,225,-28.912670135498047,0.08230970799922943,124,0.0,310,70000,0.00075,-22.15618896484375,500.0,0.24786806106567383
,225,,,128,0.0,310,70000,,,500.0,
,225,,,132,0.0,310,70000,,,500.0,
,225,,,136,0.0,310,70000,,,500.0,
,225,,,140,0.0,310,70000,,,500.0,
3834,258,-33.23310852050781,0.056813422590494156,144,0.0,309,80000,0.00075,-22.42359161376953,500.0,0.035687901079654694
,258,,,148,0.0,309,80000,,,500.0,
,258,,,152,0.0,309,80000,,,500.0,
,258,,,156,0.0,309,80000,,,500.0,
,258,,,160,0.0,309,80000,,,500.0,
4334,290,-37.45222473144531,0.039271824061870575,164,0.0,309,90000,0.00075,-21.850688934326172,500.0,0.028681619092822075
,290,,,168,0.0,309,90000,,,500.0,
,290,,,172,0.0,309,90000,,,500.0,
,290,,,176,0.0,309,90000,,,500.0,
,290,,,180,0.0,309,90000,,,500.0,
4834,323,-40.11363983154297,0.027296917513012886,184,0.0,308,100000,0.00075,-21.706214904785156,500.0,0.030178744345903397
,323,,,188,0.0,308,100000,,,500.0,
,323,,,192,0.0,308,100000,,,500.0,
,323,,,196,0.0,308,100000,,,500.0,
,323,,,200,0.0,308,100000,,,500.0,
5334,356,-39.171485900878906,0.019225548952817917,204,0.0,308,110000,0.00075,-21.251108169555664,500.0,0.029106324538588524
,356,,,208,0.0,308,110000,,,500.0,
,356,,,212,0.0,308,110000,,,500.0,
,356,,,216,0.0,308,110000,,,500.0,
,356,,,220,0.0,308,110000,,,500.0,
5834,388,-41.014739990234375,0.013647747226059437,224,0.0,308,120000,0.00075,-20.794357299804688,500.0,0.028460975736379623
,388,,,228,0.0,308,120000,,,500.0,
,388,,,232,0.0,308,120000,,,500.0,
,388,,,236,0.0,308,120000,,,500.0,
,388,,,240,0.0,308,120000,,,500.0,
6334,421,-32.441524505615234,0.010027961805462837,244,0.0,308,130000,0.00075,-20.13178062438965,500.0,0.03291330114006996
,421,,,248,0.0,308,130000,,,500.0,
,421,,,252,0.0,308,130000,,,500.0,
,421,,,256,0.0,308,130000,,,500.0,
,422,,,260,0.0,308,130000,,,500.0,
6834,456,-27.05364990234375,0.007622878532856703,264,0.0,306,140000,0.00075,-19.463844299316406,500.0,0.019663576036691666
,456,,,268,0.0,306,140000,,,500.0,
,456,,,272,0.0,306,140000,,,500.0,
,456,,,276,0.0,306,140000,,,500.0,
,456,,,280,0.0,306,140000,,,500.0,
7334,489,-24.459449768066406,0.005918828304857016,284,0.0,306,150000,0.00075,-18.690645217895508,500.0,0.10706104338169098
,489,,,288,0.0,306,150000,,,500.0,
,489,,,292,0.0,306,150000,,,500.0,
,489,,,296,0.0,306,150000,,,500.0,
,489,,,300,0.0,306,150000,,,500.0,
7834,521,-7.880703926086426,0.00473972549661994,304,0.0,306,160000,0.00075,-18.27798080444336,500.0,0.06487569212913513
,521,,,308,0.0,306,160000,,,500.0,
,521,,,312,0.0,306,160000,,,500.0,
,521,,,316,0.0,306,160000,,,500.0,
,522,,,320,0.0,306,160000,,,500.0,
8334,554,50.42629623413086,0.004109629429876804,324,0.0,306,170000,0.00075,-18.28119468688965,500.0,0.04358886182308197
,554,,,328,0.0,306,170000,,,500.0,
,554,,,332,0.0,306,170000,,,500.0,
,554,,,336,0.0,306,170000,,,500.0,
,554,,,340,0.0,306,170000,,,500.0,
8834,588,-3.4656405448913574,0.0037517687305808067,344,0.0,305,180000,0.00075,-17.538101196289062,500.0,0.036346081644296646
,588,,,348,0.0,305,180000,,,500.0,
,588,,,352,0.0,305,180000,,,500.0,
,588,,,356,0.0,305,180000,,,500.0,
,588,,,360,0.0,305,180000,,,500.0,
9334,621,6.501502513885498,0.0035560722462832928,364,0.0,305,190000,0.00075,-17.438480377197266,500.0,0.05288495868444443
,622,,,368,0.0,305,190000,,,500.0,
,622,,,372,0.0,305,190000,,,500.0,
,622,,,376,0.0,305,190000,,,500.0,
,622,,,380,0.0,305,190000,,,500.0,
9834,655,-4.630532741546631,0.0031870086677372456,384,0.0,305,200000,0.00075,-16.585529327392578,500.0,0.024039190262556076
,655,,,388,0.0,305,200000,,,500.0,
,655,,,392,0.0,305,200000,,,500.0,
,655,,,396,0.0,305,200000,,,500.0,
,655,,,400,0.0,305,200000,,,500.0,
10334,689,-11.64383602142334,0.003044699551537633,404,0.0,304,210000,0.00075,-16.394485473632812,500.0,0.016756916418671608
,689,,,408,0.0,304,210000,,,500.0,
,689,,,412,0.0,304,210000,,,500.0,
,689,,,416,0.0,304,210000,,,500.0,
,689,,,420,0.0,304,210000,,,500.0,
10834,722,-14.738797187805176,0.0029984910506755114,424,0.0,304,220000,0.00075,-16.009626388549805,500.0,0.052543122321367264
,722,,,428,0.0,304,220000,,,500.0,
,722,,,432,0.0,304,220000,,,500.0,
,722,,,436,0.0,304,220000,,,500.0,
,722,,,440,0.0,304,220000,,,500.0,
11334,755,-11.978172302246094,0.0027923418674618006,444,0.0,304,230000,0.00075,-16.15406608581543,500.0,0.01576044224202633
,755,,,448,0.0,304,230000,,,500.0,
,755,,,452,0.0,304,230000,,,500.0,
,755,,,456,0.0,304,230000,,,500.0,
,755,,,460,0.0,304,230000,,,500.0,
11834,788,-3.0421299934387207,0.0026871608570218086,464,0.0,304,240000,0.00075,-15.479005813598633,500.0,0.02663450688123703
,788,,,468,0.0,304,240000,,,500.0,
,788,,,472,0.0,304,240000,,,500.0,
,788,,,476,0.0,304,240000,,,500.0,
,788,,,480,0.0,304,240000,,,500.0,
12334,821,-14.315836906433105,0.002646974055096507,484,0.0,304,250000,0.00075,-15.114550590515137,500.0,1.8692834377288818
,821,,,488,0.0,304,250000,,,500.0,
,821,,,492,0.0,304,250000,,,500.0,
,821,,,496,0.0,304,250000,,,500.0,
,821,,,500,0.0,304,250000,,,500.0,
12834,855,-2.852381706237793,0.0026303408667445183,504,0.0,304,260000,0.00075,-14.562749862670898,500.0,0.013781528919935226
,855,,,508,0.0,304,260000,,,500.0,
,855,,,512,0.0,304,260000,,,500.0,
,855,,,516,0.0,304,260000,,,500.0,
,855,,,520,0.0,304,260000,,,500.0,
13334,887,-4.743898868560791,0.002433313522487879,524,0.0,304,270000,0.00075,-14.372119903564453,500.0,0.02005678415298462
,887,,,528,0.0,304,270000,,,500.0,
,887,,,532,0.0,304,270000,,,500.0,
,887,,,536,0.0,304,270000,,,500.0,
,887,,,540,0.0,304,270000,,,500.0,
13834,921,-4.720146179199219,0.0024090162478387356,544,0.0,303,280000,0.00075,-14.000073432922363,500.0,0.019091246649622917
,921,,,548,0.0,303,280000,,,500.0,
,921,,,552,0.0,303,280000,,,500.0,
,921,,,556,0.0,303,280000,,,500.0,
,921,,,560,0.0,303,280000,,,500.0,
14334,954,20.029998779296875,0.002243952825665474,564,0.0,303,290000,0.00075,-13.584930419921875,500.0,1.5490124225616455
,954,,,568,0.0,303,290000,,,500.0,
,954,,,572,0.0,303,290000,,,500.0,
,954,,,576,0.0,303,290000,,,500.0,
,954,,,580,0.0,303,290000,,,500.0,
14834,988,3.3553459644317627,0.002138816984370351,584,0.0,303,300000,0.00075,-13.599151611328125,500.0,1.2317525148391724
,988,,,588,0.0,303,300000,,,500.0,
,988,,,592,0.0,303,300000,,,500.0,
,988,,,596,0.0,303,300000,,,500.0,
,988,,,600,0.0,303,300000,,,500.0,
15334,1022,-7.658650875091553,0.0020991854835301638,604,0.0,303,310000,0.00075,-13.134333610534668,500.0,0.01916388049721718
,1022,,,608,0.0,303,310000,,,500.0,
,1022,,,612,0.0,303,310000,,,500.0,
,1022,,,616,0.0,303,310000,,,500.0,
,1022,,,620,0.0,303,310000,,,500.0,
15834,1057,-4.7777791023254395,0.0019617110956460238,624,0.0,302,320000,0.00075,-12.63352108001709,500.0,0.015137186273932457
,1057,,,628,0.0,302,320000,,,500.0,
,1057,,,632,0.0,302,320000,,,500.0,
,1057,,,636,0.0,302,320000,,,500.0,
,1057,,,640,0.0,302,320000,,,500.0,
16334,1092,-0.06096231937408447,0.001852277317084372,644,0.0,302,330000,0.00075,-12.411285400390625,500.0,0.4134354889392853
,1092,,,648,0.0,302,330000,,,500.0,
,1092,,,652,0.0,302,330000,,,500.0,
,1092,,,656,0.0,302,330000,,,500.0,
,1092,,,660,0.0,302,330000,,,500.0,
16834,1126,-12.914041519165039,0.0017756595043465495,664,0.0,301,340000,0.00075,-12.437567710876465,500.0,0.01966017857193947
,1126,,,668,0.0,301,340000,,,500.0,
,1126,,,672,0.0,301,340000,,,500.0,
,1126,,,676,0.0,301,340000,,,500.0,
,1126,,,680,0.0,301,340000,,,500.0,
17334,1160,0.47641658782958984,0.0015349923633038998,684,0.0,301,350000,0.00075,-11.85771369934082,500.0,0.04041765630245209
,1160,,,688,0.0,301,350000,,,500.0,
,1160,,,692,0.0,301,350000,,,500.0,
,1160,,,696,0.0,301,350000,,,500.0,
,1160,,,700,0.0,301,350000,,,500.0,
17834,1194,-2.4137728214263916,0.0015447477344423532,704,0.0,301,360000,0.00075,-11.656455993652344,500.0,0.953830897808075
,1194,,,708,0.0,301,360000,,,500.0,
,1194,,,712,0.0,301,360000,,,500.0,
,1194,,,716,0.0,301,360000,,,500.0,
,1194,,,720,0.0,301,360000,,,500.0,
18334,1227,-0.7662452459335327,0.00151117704808712,724,0.0,301,370000,0.00075,-11.358633041381836,500.0,0.01372646726667881
,1227,,,728,0.0,301,370000,,,500.0,
,1227,,,732,0.0,301,370000,,,500.0,
,1227,,,736,0.0,301,370000,,,500.0,
,1227,,,740,0.0,301,370000,,,500.0,
18834,1261,-1.5752073526382446,0.0012509110383689404,744,0.0,301,380000,0.00075,-11.01915168762207,500.0,0.008032947778701782
,1261,,,748,0.0,301,380000,,,500.0,
,1261,,,752,0.0,301,380000,,,500.0,
,1261,,,756,0.0,301,380000,,,500.0,
,1261,,,760,0.0,301,380000,,,500.0,
19334,1294,-2.1203808784484863,0.001179030747152865,764,0.0,301,390000,0.00075,-10.507318496704102,500.0,0.2668062448501587
,1294,,,768,0.0,301,390000,,,500.0,
,1294,,,772,0.0,301,390000,,,500.0,
,1294,,,776,0.0,301,390000,,,500.0,
,1294,,,780,0.0,301,390000,,,500.0,
19834,1327,14.21493911743164,0.0013773689279332757,784,0.0,301,400000,0.00075,-10.612106323242188,500.0,0.012896182015538216
,1327,,,788,0.0,301,400000,,,500.0,
,1327,,,792,0.0,301,400000,,,500.0,
,1327,,,796,0.0,301,400000,,,500.0,
,1328,,,800,0.0,301,400000,,,500.0,
