train/learning_rate,train/critic_loss,train/ent_coef,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,train/ent_coef_loss,train/n_updates,train/actor_loss,time/time_elapsed,time/total_timesteps,time/fps
0.00075,0.06450043618679047,0.7788167595863342,500.0,4,0.0,-2.9486122131347656,334,-12.097553253173828,29,10000,338
,,,500.0,8,0.0,,,,29,10000,338
,,,500.0,12,0.0,,,,29,10000,338
,,,500.0,16,0.0,,,,29,10000,338
,,,500.0,20,0.0,,,,29,10000,338
0.00075,0.040027812123298645,0.5352202653884888,500.0,24,0.0,-7.388453483581543,834,-15.892621040344238,62,20000,320
,,,500.0,28,0.0,,,,62,20000,320
,,,500.0,32,0.0,,,,62,20000,320
,,,500.0,36,0.0,,,,62,20000,320
,,,500.0,40,0.0,,,,62,20000,320
0.00075,0.033475976437330246,0.36783501505851746,500.0,44,0.0,-11.776320457458496,1334,-18.85132598876953,94,30000,316
,,,500.0,48,0.0,,,,94,30000,316
,,,500.0,52,0.0,,,,94,30000,316
,,,500.0,56,0.0,,,,94,30000,316
,,,500.0,60,0.0,,,,94,30000,316
0.00075,0.04351824149489403,0.2528515160083771,500.0,64,0.0,-16.124813079833984,1834,-20.90224838256836,128,40000,312
,,,500.0,68,0.0,,,,128,40000,312
,,,500.0,72,0.0,,,,128,40000,312
,,,500.0,76,0.0,,,,128,40000,311
,,,500.0,80,0.0,,,,128,40000,311
0.00075,0.042137037962675095,0.1738416701555252,500.0,84,0.0,-20.598228454589844,2334,-21.8666934967041,161,50000,309
,,,500.0,88,0.0,,,,161,50000,309
,,,500.0,92,0.0,,,,161,50000,309
,,,500.0,96,0.0,,,,161,50000,309
,,,500.0,100,0.0,,,,161,50000,309
0.00075,0.03356804698705673,0.11957252770662308,500.0,104,0.0,-24.983760833740234,2834,-22.22482681274414,194,60000,308
,,,500.0,108,0.0,,,,194,60000,308
,,,500.0,112,0.0,,,,194,60000,308
,,,500.0,116,0.0,,,,194,60000,308
,,,500.0,120,0.0,,,,194,60000,308
0.00075,0.042681656777858734,0.08236032724380493,500.0,124,0.0,-29.330848693847656,3334,-22.356338500976562,227,70000,307
,,,500.0,128,0.0,,,,227,70000,307
,,,500.0,132,0.0,,,,227,70000,307
,,,500.0,136,0.0,,,,227,70000,307
,,,500.0,140,0.0,,,,227,70000,307
0.00075,0.021099796518683434,0.05678943917155266,500.0,144,0.0,-33.08857727050781,3834,-22.301755905151367,260,80000,306
,,,500.0,148,0.0,,,,260,80000,306
,,,500.0,152,0.0,,,,260,80000,306
,,,500.0,156,0.0,,,,260,80000,306
,,,500.0,160,0.0,,,,260,80000,306
0.00075,0.02106478437781334,0.039298202842473984,500.0,164,0.0,-37.23173141479492,4334,-21.892372131347656,294,90000,305
,,,500.0,168,0.0,,,,294,90000,305
,,,500.0,172,0.0,,,,294,90000,305
,,,500.0,176,0.0,,,,294,90000,305
,,,500.0,180,0.0,,,,294,90000,305
0.00075,0.04557402431964874,0.027326514944434166,500.0,184,0.0,-37.99883270263672,4834,-21.636783599853516,327,100000,305
,,,500.0,188,0.0,,,,327,100000,305
,,,500.0,192,0.0,,,,327,100000,305
,,,500.0,196,0.0,,,,327,100000,305
,,,500.0,200,0.0,,,,327,100000,305
0.00075,0.34517160058021545,0.01912534609436989,500.0,204,0.0,-37.25458526611328,5334,-20.52808380126953,360,110000,304
,,,500.0,208,0.0,,,,360,110000,304
,,,500.0,212,0.0,,,,360,110000,304
,,,500.0,216,0.0,,,,360,110000,304
,,,500.0,220,0.0,,,,360,110000,304
0.00075,0.01823897287249565,0.013575274497270584,500.0,224,0.67,-43.359710693359375,5834,-20.54904556274414,393,120000,304
,,,500.0,228,0.67,,,,393,120000,304
,,,500.0,232,0.67,,,,393,120000,304
,,,500.0,236,0.67,,,,393,120000,304
,,,500.0,240,0.67,,,,393,120000,304
0.00075,5.231833457946777,0.00998981948941946,500.0,244,0.67,-41.115230560302734,6334,-19.564640045166016,426,130000,304
,,,500.0,248,0.67,,,,426,130000,304
,,,500.0,252,0.67,,,,426,130000,304
,,,500.0,256,0.67,,,,426,130000,304
,,,500.0,260,0.67,,,,426,130000,304
0.00075,2.4048895835876465,0.007415085565298796,500.0,264,1.13,-31.251415252685547,6834,-19.391530990600586,459,140000,304
,,,500.0,268,1.13,,,,459,140000,304
,,,500.0,272,1.13,,,,459,140000,304
,,,500.0,276,1.13,,,,459,140000,304
,,,500.0,280,1.13,,,,459,140000,304
0.00075,0.019292231649160385,0.005857754964381456,500.0,284,1.13,-29.032634735107422,7334,-19.136905670166016,493,150000,303
,,,500.0,288,1.13,,,,493,150000,303
,,,500.0,292,1.13,,,,493,150000,303
,,,500.0,296,1.13,,,,493,150000,303
,,,500.0,300,1.13,,,,493,150000,303
0.00075,0.030128464102745056,0.004761894233524799,500.0,304,1.13,3.0117738246917725,7834,-18.327205657958984,527,160000,303
,,,500.0,308,1.13,,,,527,160000,303
,,,500.0,312,1.13,,,,527,160000,303
,,,500.0,316,1.13,,,,527,160000,303
,,,500.0,320,1.13,,,,527,160000,303
0.00075,0.04942988604307175,0.004135110881179571,500.0,324,0.46,-4.736361503601074,8334,-17.612548828125,560,170000,303
,,,500.0,328,0.46,,,,560,170000,303
,,,500.0,332,0.46,,,,560,170000,303
,,,500.0,336,0.46,,,,560,170000,303
,,,500.0,340,0.46,,,,560,170000,303
0.00075,0.022720739245414734,0.00367400492541492,500.0,344,0.99,-6.528553009033203,8834,-17.460742950439453,594,180000,302
,,,500.0,348,0.99,,,,594,180000,302
,,,500.0,352,0.99,,,,594,180000,302
,,,500.0,356,0.99,,,,594,180000,302
,,,500.0,360,0.99,,,,594,180000,302
0.00075,0.07767294347286224,0.003174991114065051,500.0,364,0.53,-13.416694641113281,9334,-16.816864013671875,628,190000,302
,,,500.0,368,0.53,,,,628,190000,302
,,,500.0,372,0.53,,,,628,190000,302
,,,500.0,376,0.53,,,,628,190000,302
,,,500.0,380,0.53,,,,628,190000,302
0.00075,0.026619069278240204,0.0028410472441464663,500.0,384,1.16,-1.053605318069458,9834,-16.79845428466797,662,200000,301
,,,500.0,388,1.16,,,,662,200000,301
,,,500.0,392,1.16,,,,662,200000,301
,,,500.0,396,1.16,,,,662,200000,301
,,,500.0,400,1.16,,,,662,200000,301
0.00075,0.02627989463508129,0.0026451144367456436,500.0,404,1.16,-4.480051040649414,10334,-16.078128814697266,696,210000,301
,,,500.0,408,1.16,,,,696,210000,301
,,,500.0,412,1.16,,,,696,210000,301
,,,500.0,416,1.16,,,,696,210000,301
,,,500.0,420,1.16,,,,696,210000,301
0.00075,0.1052866205573082,0.002628936432301998,500.0,424,1.16,3.324023485183716,10834,-16.119735717773438,729,220000,301
,,,500.0,428,1.16,,,,729,220000,301
,,,500.0,432,1.16,,,,729,220000,301
,,,500.0,436,1.16,,,,729,220000,301
,,,500.0,440,1.16,,,,729,220000,301
0.00075,0.015476077795028687,0.002636109245941043,500.0,444,1.26,-9.156848907470703,11334,-15.450216293334961,763,230000,301
,,,500.0,448,1.26,,,,763,230000,301
,,,500.0,452,1.26,,,,763,230000,301
,,,500.0,456,1.26,,,,763,230000,301
,,,500.0,460,1.26,,,,763,230000,301
0.00075,0.031089259311556816,0.00228047464042902,500.0,464,1.26,-7.97035026550293,11834,-14.735127449035645,798,240000,300
,,,500.0,468,1.26,,,,798,240000,300
,,,500.0,472,1.26,,,,798,240000,300
,,,500.0,476,1.26,,,,798,240000,300
,,,500.0,480,1.26,,,,798,240000,300
0.00075,0.019415704533457756,0.0021316928323358297,500.0,484,0.63,-10.422784805297852,12334,-14.664505004882812,832,250000,300
,,,500.0,488,0.63,,,,832,250000,300
,,,500.0,492,0.63,,,,832,250000,300
,,,500.0,496,0.63,,,,832,250000,300
,,,500.0,500,0.63,,,,832,250000,300
0.00075,0.018612844869494438,0.002031639451161027,500.0,504,0.66,19.392669677734375,12834,-14.641328811645508,867,260000,299
,,,500.0,508,0.66,,,,867,260000,299
,,,500.0,512,0.66,,,,867,260000,299
,,,500.0,516,0.66,,,,867,260000,299
,,,500.0,520,0.66,,,,867,260000,299
0.00075,1.590043306350708,0.0021050262730568647,500.0,524,0.66,10.34833812713623,13334,-13.852591514587402,901,270000,299
,,,500.0,528,0.66,,,,901,270000,299
,,,500.0,532,0.66,,,,901,270000,299
,,,500.0,536,0.66,,,,901,270000,299
,,,500.0,540,0.66,,,,901,270000,299
0.00075,0.021647240966558456,0.0019815675914287567,500.0,544,5.21,13.629079818725586,13834,-13.520492553710938,935,280000,299
,,,500.0,548,5.21,,,,935,280000,299
,,,500.0,552,5.21,,,,935,280000,299
,,,500.0,556,5.21,,,,935,280000,299
,,,500.0,560,5.21,,,,935,280000,299
0.00075,1.5103142261505127,0.001971317920833826,500.0,564,6.11,-0.6792859435081482,14334,-13.215131759643555,970,290000,298
,,,500.0,568,6.11,,,,970,290000,298
,,,500.0,572,6.11,,,,970,290000,298
,,,500.0,576,6.11,,,,970,290000,298
,,,500.0,580,6.11,,,,970,290000,298
0.00075,0.016342634335160255,0.0019755626562982798,500.0,584,9.01,-5.135017395019531,14834,-13.286933898925781,1004,300000,298
,,,500.0,588,9.01,,,,1004,300000,298
,,,500.0,592,9.01,,,,1004,300000,298
,,,500.0,596,9.01,,,,1004,300000,298
,,,500.0,600,9.01,,,,1004,300000,298
0.00075,1.0920631885528564,0.002029448514804244,500.0,604,10.22,3.7010788917541504,15334,-12.515256881713867,1038,310000,298
,,,500.0,608,10.22,,,,1038,310000,298
,,,500.0,612,10.22,,,,1038,310000,298
,,,500.0,616,10.22,,,,1038,310000,298
,,,500.0,620,10.22,,,,1038,310000,298
0.00075,1.2390468120574951,0.002059169579297304,500.0,624,13.58,-3.7140653133392334,15834,-12.349336624145508,1071,320000,298
,,,500.0,628,13.58,,,,1071,320000,298
,,,500.0,632,13.58,,,,1071,320000,298
,,,500.0,636,13.58,,,,1071,320000,298
,,,500.0,640,13.58,,,,1071,320000,298
0.00075,0.017342999577522278,0.0023619451094418764,500.0,644,10.76,10.112577438354492,16334,-12.227996826171875,1105,330000,298
,,,500.0,648,10.76,,,,1105,330000,298
,,,500.0,652,10.76,,,,1105,330000,298
,,,500.0,656,10.76,,,,1105,330000,298
,,,500.0,660,10.76,,,,1105,330000,298
0.00075,0.015143532305955887,0.002165756653994322,500.0,664,9.86,7.166486740112305,16834,-11.886112213134766,1140,340000,298
,,,500.0,668,9.86,,,,1140,340000,298
,,,500.0,672,9.86,,,,1140,340000,298
,,,500.0,676,9.86,,,,1140,340000,298
,,,500.0,680,9.86,,,,1140,340000,298
0.00075,0.012493215501308441,0.002177654067054391,500.0,684,6.96,-1.0913149118423462,17334,-11.554393768310547,1173,350000,298
,,,500.0,688,6.96,,,,1173,350000,298
,,,500.0,692,6.96,,,,1173,350000,298
,,,500.0,696,6.96,,,,1173,350000,298
,,,500.0,700,6.96,,,,1173,350000,298
0.00075,0.017574811354279518,0.002316085621714592,500.0,704,8.11,-1.4437205791473389,17834,-11.62123966217041,1208,360000,297
,,,500.0,708,8.11,,,,1208,360000,297
,,,500.0,712,8.11,,,,1208,360000,297
,,,500.0,716,8.11,,,,1208,360000,297
,,,500.0,720,8.11,,,,1208,360000,297
0.00075,0.027997853234410286,0.0020962406415492296,500.0,724,17.01,8.32497787475586,18334,-11.400424003601074,1243,370000,297
,,,500.0,728,17.01,,,,1243,370000,297
,,,500.0,732,17.01,,,,1243,370000,297
,,,500.0,736,17.01,,,,1243,370000,297
,,,500.0,740,17.01,,,,1243,370000,297
0.00075,0.7905665040016174,0.002623277483507991,500.0,744,14.65,13.272436141967773,18834,-11.201422691345215,1277,380000,297
,,,500.0,748,14.65,,,,1277,380000,297
,,,500.0,752,14.65,,,,1277,380000,297
,,,500.0,756,14.65,,,,1277,380000,297
,,,500.0,760,14.65,,,,1277,380000,297
0.00075,0.012065842747688293,0.0027740555815398693,500.0,764,15.41,-13.877829551696777,19334,-10.7611665725708,1311,390000,297
,,,500.0,768,15.41,,,,1311,390000,297
,,,500.0,772,15.41,,,,1311,390000,297
,,,500.0,776,15.41,,,,1311,390000,297
,,,500.0,780,15.41,,,,1311,390000,297
0.00075,0.030988559126853943,0.0024837604723870754,500.0,784,15.45,-4.112443923950195,19834,-10.522720336914062,1344,400000,297
,,,500.0,788,15.45,,,,1344,400000,297
,,,500.0,792,15.45,,,,1344,400000,297
,,,500.0,796,15.45,,,,1344,400000,297
,,,500.0,800,15.45,,,,1344,400000,297
0.00075,0.02565309964120388,0.0024345533456653357,500.0,804,20.4,-1.1010279655456543,20334,-10.4518404006958,1378,410000,297
,,,500.0,808,20.4,,,,1378,410000,297
,,,500.0,812,20.4,,,,1379,410000,297
,,,500.0,816,20.4,,,,1379,410000,297
,,,500.0,820,20.4,,,,1379,410000,297
0.00075,0.02704642154276371,0.0023143456783145666,500.0,824,8.55,0.48447275161743164,20834,-10.413869857788086,1412,420000,297
,,,500.0,828,8.55,,,,1412,420000,297
,,,500.0,832,8.55,,,,1412,420000,297
,,,500.0,836,8.55,,,,1412,420000,297
,,,500.0,840,8.55,,,,1412,420000,297
0.00075,0.015199026092886925,0.0022267522290349007,500.0,844,8.55,-8.880410194396973,21334,-10.240144729614258,1448,430000,296
,,,500.0,848,8.55,,,,1448,430000,296
,,,500.0,852,8.55,,,,1448,430000,296
,,,500.0,856,8.55,,,,1448,430000,296
,,,500.0,860,8.55,,,,1448,430000,296
0.00075,0.01620851457118988,0.002606294583529234,500.0,864,14.28,-7.124936103820801,21834,-9.736663818359375,1483,440000,296
,,,500.0,868,14.28,,,,1483,440000,296
,,,500.0,872,14.28,,,,1483,440000,296
,,,500.0,876,14.28,,,,1483,440000,296
,,,500.0,880,14.28,,,,1483,440000,296
0.00075,0.056502815335989,0.0025949813425540924,500.0,884,20.58,-11.774820327758789,22334,-9.842178344726562,1516,450000,296
,,,500.0,888,20.58,,,,1516,450000,296
,,,500.0,892,20.58,,,,1516,450000,296
,,,500.0,896,20.58,,,,1516,450000,296
,,,500.0,900,20.58,,,,1516,450000,296
0.00075,0.08207990229129791,0.002374247880652547,500.0,904,41.47,3.772908926010132,22834,-10.339698791503906,1549,460000,296
,,,500.0,908,41.47,,,,1549,460000,296
,,,500.0,912,41.47,,,,1549,460000,296
,,,500.0,916,41.47,,,,1549,460000,296
,,,500.0,920,41.47,,,,1549,460000,296
0.00075,1.5123348236083984,0.0028778663836419582,500.0,924,49.99,-8.97283935546875,23334,-9.472753524780273,1583,470000,296
,,,500.0,928,49.99,,,,1583,470000,296
,,,500.0,932,49.99,,,,1583,470000,296
,,,500.0,936,49.99,,,,1583,470000,296
,,,500.0,940,49.99,,,,1583,470000,296
0.00075,0.017392102628946304,0.0026045453269034624,500.0,944,55.04,-12.541296005249023,23834,-9.448466300964355,1617,480000,296
,,,500.0,948,55.04,,,,1617,480000,296
,,,500.0,952,55.04,,,,1617,480000,296
,,,500.0,956,55.04,,,,1617,480000,296
,,,500.0,960,55.04,,,,1617,480000,296
0.00075,0.01717131957411766,0.002780894748866558,500.0,964,91.88,6.022942543029785,24334,-9.707344055175781,1651,490000,296
,,,500.0,968,91.88,,,,1651,490000,296
,,,500.0,972,91.88,,,,1651,490000,296
,,,500.0,976,91.88,,,,1651,490000,296
,,,500.0,980,91.88,,,,1651,490000,296
0.00075,0.023670224472880363,0.0033059092238545418,500.0,984,85.54,7.310321807861328,24834,-9.655876159667969,1686,500000,296
,,,500.0,988,85.54,,,,1686,500000,296
,,,500.0,992,85.54,,,,1686,500000,296
,,,500.0,996,85.54,,,,1686,500000,296
,,,500.0,1000,85.54,,,,1686,500000,296
0.00075,0.03268050402402878,0.003421531058847904,500.0,1004,57.31,-10.516413688659668,25334,-10.643778800964355,1721,510000,296
,,,500.0,1008,57.31,,,,1721,510000,296
,,,500.0,1012,57.31,,,,1721,510000,296
,,,500.0,1016,57.31,,,,1721,510000,296
,,,500.0,1020,57.31,,,,1721,510000,296
