train/ent_coef_loss,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/ent_coef,train/actor_loss,train/critic_loss,time/episodes
-2.3250138759613037,265,26,7000,500.0,0.0,264,0.00075,0.8208695650100708,-11.588046073913574,0.09011024236679077,10
-6.739232063293457,244,57,14000,500.0,0.0,764,0.00075,0.564116895198822,-15.718475341796875,0.07058167457580566,20
-11.103857040405273,237,88,21000,500.0,0.0,1264,0.00075,0.3876774311065674,-18.717649459838867,0.028167473152279854,30
,237,88,21000,500.0,0.0,,,,,,40
-15.589977264404297,233,120,28000,500.0,0.0,1764,0.00075,0.2664547562599182,-20.700878143310547,2.5530638694763184,50
-19.9492130279541,231,151,35000,500.0,0.0,2264,0.00075,0.18318085372447968,-21.379718780517578,0.19876214861869812,60
,231,151,35000,500.0,0.0,,,,,,70
-24.237640380859375,230,182,42000,500.0,0.0,2764,0.00075,0.12596596777439117,-22.488174438476562,0.046908438205718994,80
-28.714344024658203,228,214,49000,500.0,0.0,3264,0.00075,0.08668790012598038,-22.44477081298828,0.03828055039048195,90
-31.804670333862305,227,245,56000,500.0,0.0,3764,0.00075,0.05976113677024841,-22.17923355102539,0.09516747295856476,100
,227,245,56000,500.0,0.0,,,,,,110
-36.242618560791016,227,276,63000,500.0,0.0,4264,0.00075,0.04130518063902855,-22.248207092285156,0.028607016429305077,120
-39.79902648925781,227,307,70000,500.0,0.0,4764,0.00075,0.02884072996675968,-21.75188446044922,0.02843960002064705,130
,227,307,70000,500.0,0.0,,,,,,140
-28.16013526916504,226,340,77000,500.0,0.0,5264,0.00075,0.020437687635421753,-21.027999877929688,0.029402699321508408,150
-39.95792007446289,225,372,84000,500.0,0.0,5764,0.00075,0.014726288616657257,-20.708097457885742,0.06403568387031555,160
-29.290977478027344,225,404,91000,500.0,0.0,6264,0.00075,0.011066784150898457,-20.0185489654541,0.09690652042627335,170
,225,404,91000,500.0,0.0,,,,,,180
-25.121562957763672,225,435,98000,500.0,0.0,6764,0.00075,0.008480849675834179,-19.822952270507812,0.02788323163986206,190
-9.65180778503418,224,466,105000,500.0,0.0,7264,0.00075,0.007203192915767431,-18.86276626586914,0.12170848250389099,200
,224,466,105000,500.0,0.0,,,,,,210
-9.979455947875977,224,498,112000,500.0,0.0,7764,0.00075,0.006147765088826418,-18.664390563964844,0.026690585538744926,220
-1.6924993991851807,225,528,119000,500.0,0.0,8264,0.00075,0.005262558348476887,-18.040647506713867,0.04386463388800621,230
-5.526425361633301,225,558,126000,500.0,0.0,8764,0.00075,0.004744249861687422,-17.6977596282959,0.027317862957715988,240
,225,558,126000,500.0,0.0,,,,,,250
-5.057535171508789,225,589,133000,500.0,0.0,9264,0.00075,0.004602706991136074,-17.38190460205078,0.047821756452322006,260
-5.785600662231445,225,620,140000,500.0,0.0,9764,0.00075,0.004247244447469711,-16.884273529052734,0.024697503075003624,270
,225,620,140000,500.0,0.0,,,,,,280
-18.881874084472656,225,650,147000,500.0,0.0,10264,0.00075,0.003965952433645725,-16.69793128967285,2.1471378803253174,290
3.8922243118286133,225,682,154000,500.0,0.0,10764,0.00075,0.003640119219198823,-15.893305778503418,0.02004653960466385,300
-6.373586177825928,225,713,161000,500.0,0.0,11264,0.00075,0.0036254210863262415,-15.72990608215332,1.6781773567199707,310
,225,713,161000,500.0,0.0,,,,,,320
1.1550079584121704,225,744,168000,500.0,0.0,11764,0.00075,0.0033016367815434933,-15.436052322387695,0.029273558408021927,330
-5.3802995681762695,225,777,175000,500.0,0.0,12264,0.00075,0.0032930613961070776,-14.901605606079102,0.0694059506058693,340
,225,777,175000,500.0,0.0,,,,,,350
5.449801445007324,224,809,182000,500.0,0.0,12764,0.00075,0.0029472524765878916,-15.057266235351562,0.028510790318250656,360
1.496929407119751,224,841,189000,500.0,0.0,13264,0.00075,0.0030605716165155172,-14.470897674560547,0.017914749681949615,370
-13.973836898803711,224,873,196000,500.0,0.0,13764,0.00075,0.0027831364423036575,-14.363908767700195,0.016476307064294815,380
,224,873,196000,500.0,0.0,,,,,,390
-4.788480281829834,224,904,203000,500.0,0.0,14264,0.00075,0.0027859024703502655,-13.893765449523926,0.015557579696178436,400
-11.74747085571289,224,935,210000,500.0,0.0,14764,0.00075,0.0023183096200227737,-13.596271514892578,0.009210041724145412,410
,224,935,210000,500.0,0.0,,,,,,420
-18.228626251220703,224,967,217000,500.0,0.0,15264,0.00075,0.002211692975834012,-13.185397148132324,0.4215894639492035,430
-6.6803436279296875,224,999,224000,500.0,0.0,15764,0.00075,0.0021282376255840063,-13.122014999389648,0.00832180492579937,440
10.19913387298584,223,1031,231000,500.0,0.0,16264,0.00075,0.002240317640826106,-12.538789749145508,0.29212427139282227,450
,223,1031,231000,500.0,0.0,,,,,,460
9.355320930480957,223,1064,238000,500.0,0.0,16764,0.00075,0.002266279421746731,-12.069660186767578,0.019943013787269592,470
2.601144552230835,223,1095,245000,500.0,0.0,17264,0.00075,0.0021916069090366364,-12.081510543823242,1.079408884048462,480
,223,1095,245000,500.0,0.0,,,,,,490
-2.7398552894592285,223,1127,252000,500.0,0.0,17764,0.00075,0.0020345847588032484,-12.059965133666992,0.009522557258605957,500
-1.280139446258545,223,1159,259000,500.0,0.0,18264,0.00075,0.0019168145954608917,-11.549286842346191,0.6638569831848145,510
9.392322540283203,223,1191,266000,500.0,0.0,18764,0.00075,0.0018330736784264445,-11.488479614257812,0.008009298704564571,520
,223,1192,266000,500.0,0.0,,,,,,530
-9.663634300231934,223,1223,273000,500.0,0.0,19264,0.00075,0.001603465061634779,-11.093006134033203,1.2143638134002686,540
-3.943941116333008,223,1254,280000,500.0,0.0,19764,0.00075,0.0017607670743018389,-11.282369613647461,0.603296160697937,550
,223,1254,280000,500.0,0.0,,,,,,560
-5.521609306335449,223,1286,287000,500.0,0.0,20264,0.00075,0.0017895486671477556,-10.86858081817627,0.00530226482078433,570
-8.386082649230957,222,1318,294000,500.0,0.0,20764,0.00075,0.001764471991918981,-10.617374420166016,0.017387298867106438,580
0.12462961673736572,222,1350,301000,500.0,0.0,21264,0.00075,0.001548311091028154,-10.17523193359375,0.010973803699016571,590
,222,1350,301000,500.0,0.0,,,,,,600
7.636438369750977,222,1381,308000,500.0,0.0,21764,0.00075,0.0016217312077060342,-9.926492691040039,0.09825916588306427,610
3.4028565883636475,222,1413,315000,500.0,0.0,22264,0.00075,0.0015213346341624856,-9.77181625366211,0.008080852217972279,620
,222,1413,315000,500.0,0.0,,,,,,630
5.827142238616943,222,1444,322000,500.0,0.0,22764,0.00075,0.0014485843712463975,-9.572626113891602,0.013778362423181534,640
-4.779257297515869,222,1475,329000,500.0,0.0,23264,0.00075,0.0013859097380191088,-9.26072883605957,0.006866853684186935,650
-6.364485740661621,223,1506,336000,500.0,0.0,23764,0.00075,0.001416039071045816,-9.22469711303711,0.006506231613457203,660
,223,1506,336000,500.0,0.0,,,,,,670
8.22213363647461,223,1537,343000,500.0,0.0,24264,0.00075,0.0013234209036454558,-9.045071601867676,0.006191438063979149,680
18.737728118896484,223,1568,350000,500.0,0.0,24764,0.00075,0.0013820655876770616,-8.69511604309082,0.011871627531945705,690
,223,1568,350000,500.0,0.0,,,,,,700
-7.020795822143555,223,1600,357000,500.0,0.0,25264,0.00075,0.00137737684417516,-8.434757232666016,0.5265287160873413,710
-1.3441345691680908,223,1632,364000,500.0,0.0,25764,0.00075,0.001290833461098373,-8.210596084594727,0.0045005930587649345,720
5.354403972625732,222,1664,371000,500.0,0.0,26264,0.00075,0.001128994394093752,-8.151693344116211,0.4738209843635559,730
,222,1664,371000,500.0,0.0,,,,,,740
5.588265895843506,222,1696,378000,500.0,0.0,26764,0.00075,0.0012528373626992106,-7.804601669311523,0.0049585821107029915,750
15.962861061096191,222,1726,385000,500.0,0.0,27264,0.00075,0.0011912662303075194,-7.747767448425293,0.002812283579260111,760
,222,1726,385000,500.0,0.0,,,,,,770
-12.487174987792969,222,1757,392000,500.0,0.0,27764,0.00075,0.0011568026384338737,-7.607898712158203,0.00960497371852398,780
4.198347091674805,222,1789,399000,500.0,0.0,28264,0.00075,0.0009862611768767238,-7.454800128936768,0.003348684636875987,790
11.37463665008545,222,1820,406000,500.0,0.0,28764,0.00075,0.0008669680682942271,-7.167424201965332,0.003978249151259661,800
,222,1820,406000,500.0,0.0,,,,,,810
10.207207679748535,222,1852,413000,500.0,0.0,29264,0.00075,0.00098075729329139,-7.108943462371826,0.005220220424234867,820
-5.354835510253906,222,1884,420000,500.0,0.0,29764,0.00075,0.001063680974766612,-6.854851722717285,0.003939942456781864,830
,222,1884,420000,500.0,0.0,,,,,,840
-6.92093563079834,222,1916,427000,500.0,0.0,30264,0.00075,0.0009097967995330691,-6.77241849899292,0.004938098601996899,850
-1.8353347778320312,222,1947,434000,500.0,0.0,30764,0.00075,0.0008680108585394919,-6.50882625579834,0.008121665567159653,860
7.414665222167969,222,1978,441000,500.0,0.0,31264,0.00075,0.0009382047574035823,-6.42875862121582,0.008730471134185791,870
,222,1978,441000,500.0,0.0,,,,,,880
-2.2412312030792236,222,2010,448000,500.0,0.0,31764,0.00075,0.001029390492476523,-6.140425682067871,0.006340927444398403,890
-8.523486137390137,222,2042,455000,500.0,0.0,32264,0.00075,0.0009010459179989994,-6.058465003967285,0.09663290530443192,900
,222,2042,455000,500.0,0.0,,,,,,910
-11.727629661560059,222,2073,462000,500.0,0.0,32764,0.00075,0.0009075229172594845,-5.828908920288086,0.008177326060831547,920
-8.92791748046875,222,2105,469000,500.0,0.0,33264,0.00075,0.0007273152587004006,-5.85896110534668,0.25842908024787903,930
-9.30927562713623,222,2136,476000,500.0,0.0,33764,0.00075,0.0007113535539247096,-5.706684112548828,0.0020879339426755905,940
,222,2136,476000,500.0,0.0,,,,,,950
-12.232723236083984,222,2166,483000,500.0,0.0,34264,0.00075,0.0006689905421808362,-5.6203293800354,0.003346020355820656,960
12.674417495727539,223,2197,490000,500.0,0.0,34764,0.00075,0.0006579455803148448,-5.482652187347412,0.0020026667043566704,970
,222,2197,490000,500.0,0.0,,,,,,980
5.046781063079834,222,2228,497000,500.0,0.0,35264,0.00075,0.0006625123205594718,-5.2810564041137695,0.2052432894706726,990
-13.14245319366455,222,2260,504000,500.0,0.0,35764,0.00075,0.000666678708512336,-5.270931243896484,0.0019936703611165285,1000
11.122077941894531,222,2292,511000,500.0,0.0,36264,0.00075,0.0005967637407593429,-5.131914138793945,0.005650518462061882,1010
,222,2292,511000,500.0,0.0,,,,,,1020
1.2920663356781006,222,2323,518000,500.0,0.0,36764,0.00075,0.0005772000295110047,-4.945219039916992,0.12190206348896027,1030
7.9884114265441895,222,2355,525000,500.0,0.0,37264,0.00075,0.0005690524121746421,-4.886871337890625,0.003752718912437558,1040
,222,2355,525000,500.0,0.0,,,,,,1050
6.532281875610352,222,2386,532000,500.0,0.0,37764,0.00075,0.0005488893948495388,-4.67913818359375,0.0010990445734933019,1060
-7.8088531494140625,223,2416,539000,500.0,0.0,38264,0.00075,0.0005734441219829023,-4.6457061767578125,0.0011059383396059275,1070
5.96087646484375,223,2447,546000,500.0,0.0,38764,0.00075,0.0005813119933009148,-4.408884048461914,0.0018004507292062044,1080
,223,2447,546000,500.0,0.0,,,,,,1090
-1.4110045433044434,223,2479,553000,500.0,0.0,39264,0.00075,0.0005670047248713672,-4.447419166564941,0.13439765572547913,1100
15.502103805541992,223,2510,560000,500.0,0.0,39764,0.00075,0.0005550722125917673,-4.277957916259766,0.0018961301539093256,1110
,223,2510,560000,500.0,0.0,,,,,,1120
-15.097543716430664,223,2541,567000,500.0,0.0,40264,0.00075,0.0005625080084428191,-4.183488368988037,0.0018133961129933596,1130
2.3429903984069824,223,2573,574000,500.0,0.0,40764,0.00075,0.0005011638277210295,-4.068367004394531,0.0011493540368974209,1140
5.533681869506836,223,2604,581000,500.0,0.0,41264,0.00075,0.0005275469738990068,-4.03704833984375,0.0010913168080151081,1150
,223,2604,581000,500.0,0.0,,,,,,1160
-7.975960731506348,223,2635,588000,500.0,0.0,41764,0.00075,0.0005476073711179197,-3.903329372406006,0.20903754234313965,1170
23.284313201904297,223,2666,595000,500.0,0.0,42264,0.00075,0.0005181990563869476,-3.7720789909362793,0.0007095682667568326,1180
,223,2666,595000,500.0,0.0,,,,,,1190
-13.53414535522461,223,2698,602000,500.0,0.0,42764,0.00075,0.00048759556375443935,-3.691582202911377,0.0005146359908394516,1200
-1.4918715953826904,223,2730,609000,500.0,0.0,43264,0.00075,0.00047466575051657856,-3.6040542125701904,0.0008303191279992461,1210
-0.8172540068626404,223,2761,616000,500.0,0.0,43764,0.00075,0.0005338935879990458,-3.5201544761657715,0.0009103800402954221,1220
,223,2761,616000,500.0,0.0,,,,,,1230
4.402292728424072,222,2793,623000,500.0,0.0,44264,0.00075,0.0004564293194562197,-3.4895262718200684,0.007557516917586327,1240
17.199031829833984,222,2825,630000,500.0,0.0,44764,0.00075,0.0004982161917723715,-3.3143036365509033,0.05930329114198685,1250
,222,2825,630000,500.0,0.0,,,,,,1260
2.972059488296509,222,2857,637000,500.0,0.0,45264,0.00075,0.00042313532321713865,-3.260132074356079,0.08124420046806335,1270
-12.076412200927734,222,2890,644000,500.0,0.0,45764,0.00075,0.00044389753020368516,-3.2240798473358154,0.06950409710407257,1280
-5.822263717651367,222,2923,651000,500.0,0.0,46264,0.00075,0.00037969654658809304,-3.0854647159576416,0.0010841777548193932,1290
,222,2923,651000,500.0,0.0,,,,,,1300
-4.918252944946289,222,2955,658000,500.0,1.23,46764,0.00075,0.0004209205217193812,-2.9976279735565186,0.001064729760400951,1310
-9.667967796325684,222,2987,665000,500.0,1.23,47264,0.00075,0.00039715482853353024,-2.9693922996520996,0.0006514251581393182,1320
,222,2987,665000,500.0,1.23,,,,,,1330
2.3713953495025635,222,3019,672000,500.0,1.23,47764,0.00075,0.0003823336446657777,-2.925314426422119,0.0010531267616897821,1340
-12.596820831298828,222,3051,679000,500.0,1.23,48264,0.00075,0.00042900003609247506,-2.804605484008789,0.04231276735663414,1350
0.11412882804870605,222,3082,686000,500.0,1.23,48764,0.00075,0.0004717812698800117,-2.7595810890197754,0.04350367188453674,1360
,222,3082,686000,500.0,1.23,,,,,,1370
-1.8628116846084595,222,3115,693000,500.0,1.23,49264,0.00075,0.0005236255237832665,-2.712447166442871,0.0010278794215992093,1380
6.926731109619141,222,3148,700000,500.0,1.23,49764,0.00075,0.0005607632920145988,-2.660886764526367,0.007351841311901808,1390
,222,3148,700000,500.0,1.23,,,,,,1400
-11.03647232055664,222,3181,707000,500.0,0.0,50264,0.00075,0.0005773093434982002,-2.589839458465576,0.000531144323758781,1410
-6.118137359619141,222,3215,714000,500.0,0.0,50764,0.00075,0.0004599587118718773,-2.5121560096740723,0.03034607134759426,1420
14.955690383911133,221,3249,721000,500.0,0.0,51264,0.00075,0.0004421901539899409,-2.481050968170166,0.0006618988700211048,1430
,221,3249,721000,500.0,0.0,,,,,,1440
-0.06503987312316895,221,3282,728000,500.0,0.0,51764,0.00075,0.0004059316706843674,-2.4329943656921387,0.000463830801891163,1450
-12.419042587280273,221,3315,735000,500.0,0.0,52264,0.00075,0.0004272706573829055,-2.385915756225586,0.053311221301555634,1460
,221,3315,735000,500.0,0.0,,,,,,1470
-3.0999226570129395,221,3349,742000,500.0,0.0,52764,0.00075,0.0004085079999640584,-2.334139823913574,0.0009254950564354658,1480
8.534215927124023,221,3382,749000,500.0,0.0,53264,0.00075,0.0003414721286389977,-2.2869935035705566,0.00151758489664644,1490
-9.756637573242188,221,3415,756000,500.0,0.0,53764,0.00075,0.0003298560332041234,-2.1763973236083984,0.0012162479106336832,1500
,221,3415,756000,500.0,0.0,,,,,,1510
9.219012260437012,221,3449,763000,500.0,0.0,54264,0.00075,0.0003496627905406058,-2.226193904876709,0.0006515330751426518,1520
0.513700008392334,221,3482,770000,500.0,0.0,54764,0.00075,0.00033847938175313175,-2.196866750717163,0.0011172263184562325,1530
,221,3482,770000,500.0,0.0,,,,,,1540
-5.411853790283203,220,3516,777000,500.0,0.0,55264,0.00075,0.00032500605448149145,-2.1227164268493652,0.02182278409600258,1550
3.154541492462158,220,3549,784000,500.0,0.0,55764,0.00075,0.0003236596239730716,-2.167393684387207,0.0010991425951942801,1560
0.12363266944885254,220,3582,791000,500.0,0.04,56264,0.00075,0.00031711478368379176,-2.1056604385375977,0.0006614138837903738,1570
,220,3582,791000,500.0,0.04,,,,,,1580
7.082006454467773,220,3615,798000,500.0,0.04,56764,0.00075,0.00030345682171173394,-1.9693362712860107,0.0010063215158879757,1590
-10.750099182128906,220,3650,805000,500.0,0.04,57264,0.00075,0.00036744444514624774,-1.9799551963806152,0.030764233320951462,1600
,220,3650,805000,500.0,0.04,,,,,,1610
-1.082632303237915,220,3684,812000,500.0,0.04,57764,0.00075,0.00032144057331606746,-1.955484390258789,0.0007206825539469719,1620
16.036760330200195,220,3718,819000,500.0,1.73,58264,0.00075,0.00033037547837011516,-1.865642786026001,0.033555030822753906,1630
-3.5744540691375732,220,3751,826000,500.0,1.73,58764,0.00075,0.00034464331110939384,-1.8226537704467773,0.025241728872060776,1640
,220,3751,826000,500.0,1.73,,,,,,1650
-0.9750518798828125,220,3785,833000,500.0,1.76,59264,0.00075,0.00039033062057569623,-1.8545993566513062,0.01963404193520546,1660
-0.7374584674835205,219,3819,840000,500.0,1.84,59764,0.00075,0.000412620953284204,-1.9633798599243164,0.0008417207282036543,1670
,219,3819,840000,500.0,1.84,,,,,,1680
1.8811469078063965,219,3853,847000,500.0,1.84,60264,0.00075,0.00039838574593886733,-1.9781835079193115,0.0012024749303236604,1690
-0.7021863460540771,219,3887,854000,500.0,1.84,60764,0.00075,0.00039722752990201116,-1.9920902252197266,0.0006058545550331473,1700
14.087753295898438,219,3921,861000,500.0,1.84,61264,0.00075,0.0004456446913536638,-1.9492578506469727,0.016291983425617218,1710
,219,3921,861000,500.0,1.84,,,,,,1720
6.503420829772949,219,3956,868000,500.0,0.15,61764,0.00075,0.00047030512359924614,-1.8580145835876465,0.0009408901096321642,1730
5.215429306030273,219,3990,875000,500.0,0.15,62264,0.00075,0.00047442474169656634,-1.9869691133499146,0.0007168734446167946,1740
,219,3990,875000,500.0,0.15,,,,,,1750
-5.918734550476074,219,4024,882000,500.0,0.12,62764,0.00075,0.0005015259957872331,-2.0056698322296143,0.012833251617848873,1760
1.602776050567627,219,4058,889000,500.0,0.0,63264,0.00075,0.0005135865649208426,-2.0041615962982178,0.0008345713140442967,1770
4.150751113891602,218,4091,896000,500.0,0.0,63764,0.00075,0.0005118358531035483,-2.03515362739563,0.012140363454818726,1780
,218,4091,896000,500.0,0.0,,,,,,1790
7.162696838378906,218,4124,903000,500.0,0.0,64264,0.00075,0.0006086084176786244,-2.1637492179870605,0.0007942127413116395,1800
1.1596598625183105,218,4157,910000,500.0,0.0,64764,0.00075,0.0005941627896390855,-2.026245594024658,0.0017277431907132268,1810
,218,4157,910000,500.0,0.0,,,,,,1820
-2.3859288692474365,218,4191,917000,500.0,0.0,65264,0.00075,0.0006421486032195389,-2.0315141677856445,0.00102939922362566,1830
4.713278293609619,218,4225,924000,500.0,0.0,65764,0.00075,0.000617000216152519,-2.1467204093933105,0.07996900379657745,1840
-8.28309154510498,218,4258,931000,500.0,0.0,66264,0.00075,0.0006585416267625988,-2.102266311645508,0.0011759574990719557,1850
,218,4258,931000,500.0,0.0,,,,,,1860
1.8135820627212524,218,4291,938000,500.0,0.0,66764,0.00075,0.0006864081951789558,-2.07716703414917,0.0014660890446975827,1870
-6.568931579589844,218,4325,945000,500.0,0.0,67264,0.00075,0.000698112475220114,-1.9690866470336914,0.019168294966220856,1880
,218,4325,945000,500.0,0.0,,,,,,1890
2.5038745403289795,218,4358,952000,500.0,0.0,67764,0.00075,0.0006217510090209544,-2.092458724975586,0.04294537752866745,1900
13.643926620483398,218,4392,959000,500.0,0.0,68264,0.00075,0.0006683133542537689,-2.0211362838745117,0.0008713562274351716,1910
1.0672510862350464,218,4425,966000,500.0,0.0,68764,0.00075,0.0006441380246542394,-2.070713520050049,0.0019310093484818935,1920
,218,4425,966000,500.0,0.0,,,,,,1930
1.8801602125167847,218,4459,973000,500.0,0.0,69264,0.00075,0.0006380886770784855,-2.0084054470062256,0.0013527143746614456,1940
-8.023225784301758,218,4492,980000,500.0,0.0,69764,0.00075,0.0006270731682889163,-2.1552376747131348,0.07134538888931274,1950
,218,4492,980000,500.0,0.0,,,,,,1960
-0.7784651517868042,218,4526,987000,500.0,0.0,70264,0.00075,0.0006800689152441919,-2.0200767517089844,0.0010311714140698314,1970
0.958216667175293,217,4561,994000,500.0,0.0,70764,0.00075,0.0006479381117969751,-2.05763578414917,0.0010090356227010489,1980
